Year,Afghanistan,Angola,Albania,Arab World,United Arab Emirates,Argentina,Antigua and Barbuda,Australia,Austria,Burundi,Belgium,Benin,Burkina Faso,Bangladesh,Bulgaria,Bahrain,Belize,Bermuda,Bolivia,Brazil,Barbados,Brunei Darussalam,Central African Republic,Canada,Central Europe and the Baltics,Switzerland,Chile,China,Cote d'Ivoire,Cameroon,Congo,"Congo, Rep.",Colombia,Comoros,Cabo Verde,Costa Rica,Caribbean small states,Cuba,Cayman Islands,Cyprus,Czech Republic,Germany,Djibouti,Dominica,Denmark,Dominican Republic,Algeria,East Asia & Pacific (excluding high income),Early-demographic dividend,East Asia & Pacific,Europe & Central Asia (excluding high income),Europe & Central Asia,Ecuador,"Egypt, Arab Rep.",Euro area,Eritrea,Spain,Estonia,Ethiopia,European Union,Fragile and conflict affected situations,Finland,Fiji,France,Faroe Islands,"Micronesia, Fed. Sts.",Gabon,United Kingdom,Georgia,Ghana,Gibraltar,Guinea,"Gambia, The",Guinea-Bissau,Equatorial Guinea,Greece,Grenada,Greenland,Guatemala,Guam,Guyana,High income,"Hong Kong SAR, China",Honduras,Haiti,Hungary,IBRD only,IDA & IBRD total,IDA total,IDA blend,Indonesia,IDA only,Isle of Man,India,Not classified,Ireland,"Iran, Islamic Rep.",Iraq,Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,Kyrgyz Republic,Cambodia,Kiribati,St. Kitts and Nevis,"Korea, Rep.",Kuwait,Latin America & Caribbean (excluding high income),Lao PDR,Lebanon,Liberia,Libya,St. Lucia,Latin America & Caribbean,Least developed countries: UN classification,Low income,Liechtenstein,Sri Lanka,Lower middle income,Low & middle income,Lesotho,Late-demographic dividend,Lithuania,Luxembourg,Latvia,"Macao SAR, China",St. Martin (French part),Morocco,Monaco,Moldova,Madagascar,Maldives,Middle East & North Africa,Mexico,Marshall Islands,Middle income,North Macedonia,Mali,Malta,Myanmar,Middle East & North Africa (excluding high income),Montenegro,Mongolia,Northern Mariana Islands,Mozambique,Mauritania,Mauritius,Malawi,Malaysia,North America,Namibia,New Caledonia,Niger,Nigeria,Nicaragua,Netherlands,Norway,Nepal,Nauru,New Zealand,OECD members,Oman,Other small states,Pakistan,Panama,Peru,Philippines,Palau,Papua New Guinea,Poland,Pre-demographic dividend,Puerto Rico,Korea,Portugal,Paraguay,West Bank and Gaza,Pacific island small states,French Polynesia,Qatar,Romania,Russian Federation,Rwanda,South Asia,Saudi Arabia,Sudan,Senegal,Singapore,Solomon Islands,Sierra Leone,El Salvador,San Marino,Somalia,Sub-Saharan Africa (excluding high income),Sub-Saharan Africa,Small states,Sao Tome and Principe,Suriname,Slovak Republic,Slovenia,Sweden,Eswatini,Syrian Arab Republic,Turks and Caicos Islands,Chad,East Asia & Pacific (IDA & IBRD countries),Europe & Central Asia (IDA & IBRD countries),Togo,Thailand,Latin America & the Caribbean (IDA & IBRD countries),Timor-Leste,Middle East & North Africa (IDA & IBRD countries),Tonga,South Asia (IDA & IBRD),Sub-Saharan Africa (IDA & IBRD countries),Trinidad and Tobago,Tunisia,Turkey,Tanzania,Uganda,Upper middle income,Uruguay,United States,Uzbekistan,St. Vincent and the Grenadines,"Venezuela, RB",British Virgin Islands,Virgin Islands (U.S.),Vietnam,Vanuatu,World,Samoa,Kosovo,"Yemen, Rep.",South Africa,Zambia,Zimbabwe
1960,0.046056713,0.100835336,1.258194928,0.645735873,0.119035253,2.38334297,0.677430677,8.582936643,4.373318828,,9.941594074,0.066354063,0.009111902,,2.833901121,3.544478443,0.477971846,3.551373874,0.274752629,0.649885938,0.74616417,4.084318621,0.058606829,10.77084729,5.104205752,3.664365979,1.658786375,1.170381372,0.131878125,0.052416901,0.152228016,0.219677231,1.021927205,0.057560394,0.109047654,0.369240041,1.401336684,1.918419324,1.398728544,1.548904753,,,0.482292314,0.183316392,6.502683093,0.316137579,0.557120304,0.952973838,0.594012982,1.162459682,,,0.388194687,0.602793147,,,1.606592711,,0.015892176,6.611248855,0.282425584,3.409846728,0.49392728,5.817437681,1.694987722,,0.263534879,11.15075916,,0.220509764,2.035482494,0.117540057,0.050226409,0.02975804,0.086169825,1.128920482,0.244651514,6.882676923,0.319608136,,1.154316313,7.515669385,0.960982311,0.302190881,0.073981955,4.544465241,1.333118193,1.150853303,0.222613405,0.372135419,0.243920439,0.137711354,,0.267634185,,3.952726791,1.706876605,1.133839523,6.913193297,3.059851846,2.178444772,0.902946847,0.797770233,2.516537519,,0.298956907,,0.041012378,,0.214884266,0.501837251,29.0057057,1.296989937,0.038037661,1.43027833,0.147511704,0.478496869,0.163528323,1.324430298,0.102717784,0.192492812,,0.22875867,0.375556219,1.052959482,,1.798429418,,36.6851833,,0.305963967,,0.295358036,,,0.078382774,,0.971951787,1.670990141,,1.116829817,,0.022989578,1.044345429,0.125005946,0.863165099,,1.354729698,,0.262334358,0.043121696,0.272514943,,,15.5255288,,10.90816456,0.008656844,0.075470965,0.299873839,6.39917962,3.658563698,0.007983533,,4.867069736,7.263434812,,0.630833328,0.314626187,0.880341254,0.804897186,0.317288748,1.501176952,0.079651698,6.740362582,0.157044298,,,0.928578089,0.159854978,,0.376362636,0.469670577,3.714671619,2.903812021,,0.036225525,0.243502213,0.655055537,0.129783714,0.258436816,0.846367833,0.093348268,0.308532056,0.224024012,,0.030602996,0.554956728,0.554878406,0.91815525,0.171083326,1.503124663,,,6.576406584,0.098053081,0.704774143,,0.018325172,0.951089322,,0.04176239,0.135585755,1.299146846,,0.862685005,0.178654368,0.243502213,0.554878406,3.044377278,0.413369901,0.612271322,0.082444237,0.062316991,1.689062034,1.701588605,15.99977916,,0.13585339,7.009412368,,,0.2293135,,3.099156966,0.135028399,,0.683679077,5.727221366,,
1961,0.053588835,0.082203797,1.374186047,0.687465379,0.109141236,2.458551426,0.866729696,8.641569017,4.496361641,,10.10387199,0.05204863,0.018729901,,3.269920074,10.54928109,0.387210542,3.868483516,0.279280787,0.662130491,0.83873933,3.557198289,0.057669852,10.62789765,5.330535087,3.751824984,1.743012817,0.836046901,0.152473887,0.053426318,0.150781838,0.2566263,1.099581351,0.056665585,0.107155903,0.355766035,2.059977399,1.670750219,1.370670321,1.501421768,,,0.497231576,0.180249705,6.881260155,0.302508015,0.535024402,0.696521559,0.604161779,0.996779346,,,0.352251265,0.6244271,,,1.74622172,,0.015042483,6.79432337,0.284721885,3.348877215,0.414198684,5.952751834,3.240876953,,0.326246197,11.15413892,,0.196514461,2.155881241,0.173436015,0.059074494,0.047106354,0.085018413,1.169782628,0.200762097,8.70504451,0.324742058,,1.250805228,7.567150245,1.064878003,0.351585497,0.075350385,4.883326797,1.174143874,1.015405547,0.221799534,0.385250752,0.288847535,0.132465202,,0.283703709,,4.377964877,1.625491562,1.166517421,6.103849097,3.235686957,2.46455581,1.290389341,1.005237231,2.981979388,,0.286699947,,0.048702138,0.173672121,0.429793718,0.561314583,33.20815368,1.277248585,0.052377411,1.439567011,0.141248111,0.797987545,0.202114291,1.317688793,0.097629924,0.181730075,,0.231008985,0.39814538,0.905669841,,1.478047003,,36.58377756,,0.408730392,,0.297154788,,,0.068095026,,0.994786956,1.675961329,,0.960148641,,0.022047752,0.901952344,0.116721272,0.845167519,,1.418744871,,0.358603404,0.054444991,0.274719173,,,15.22153307,,10.92874384,0.015777354,0.089319491,0.306622443,6.520357665,3.698694388,0.0078574,,4.863166095,7.299657592,,0.772538752,0.318179214,0.945724193,0.827360333,0.321187655,5.108767041,0.087801402,6.922802563,0.163789809,,,1.018050319,0.185737572,,0.391633853,0.726984363,3.137784174,3.005891594,,0.046474615,0.256635834,0.84659456,0.128810196,0.247042586,1.229944196,0.120845623,0.123149786,0.204824352,,0.031273742,0.5671375,0.567056946,1.250555979,0.170288846,1.44986753,,,6.49624827,0.01068022,0.649233274,,0.016775107,0.695385205,,0.057385607,0.146944073,1.299871853,,0.844697435,0.172659499,0.256635834,0.567056946,5.321449137,0.417044545,0.61687926,0.068047223,0.058282876,1.405209762,1.60272911,15.68125552,,0.133882608,6.153191257,,,0.237233408,,3.070017727,0.163552027,,0.494324347,5.832620932,,
1962,0.073720831,0.210531477,1.439955964,0.763573634,0.163533063,2.538446036,1.838720653,8.835688047,4.755361673,0.015135584,10.64118963,0.054208805,0.017003116,,3.835891818,9.19164395,0.715446069,3.383712446,0.289272388,0.701775503,1.119174838,4.139057454,0.047257895,11.13062748,5.658550118,4.333572069,1.973031759,0.661428164,0.155597033,0.053659482,0.135559207,0.222920435,1.137455524,0.05578657,0.087250526,0.383755368,2.703738124,1.901014551,1.350478763,1.567877983,,,0.506040083,0.177487012,7.945107361,0.353054997,0.487888633,0.562242605,0.624157307,0.89569246,,,0.3255861,0.661467973,,,1.935781533,,0.017054794,7.12349268,0.293412867,3.742567366,0.547878055,6.235408683,3.303231618,,0.17213033,11.14292839,,0.20274362,2.262369926,0.182769757,0.067568848,0.064140707,0.083906963,1.20320119,0.277550711,7.543542857,0.309673363,,1.118937463,7.817701225,1.115011194,0.32491266,0.07572727,5.02503803,1.116237055,0.96779835,0.234678637,0.413662542,0.248553398,0.13817898,,0.305850958,,4.626338041,1.623751052,1.176904102,6.57485552,3.463899695,2.878496387,1.264255733,1.03770217,3.059736351,,0.303639258,,0.051095882,0.254176197,0.287816651,0.651713667,42.36070467,1.300633419,0.059434746,1.483715499,0.216880327,0.676265933,0.199529878,1.359971325,0.106778513,0.190799963,,0.247603234,0.419008772,0.850587954,,1.343853651,,36.01262666,,0.541153233,,0.235227671,,,0.073990804,,1.066208969,1.587485025,,0.900694567,,0.025894159,1.018925594,0.126984945,0.853805979,,1.950755643,,0.264744077,0.069136041,0.361281304,,,15.56809381,,6.771199041,0.018395152,0.088887855,0.349714558,7.060853797,3.868626059,0.008435424,,4.516526591,7.521667087,,0.774320178,0.341225569,0.991123116,0.927541238,0.368563203,4.976058932,0.084610349,7.15360516,0.166960621,,,1.034377865,0.195532399,,0.471114966,0.56985237,3.389214745,3.420285867,,0.027626193,0.276622324,1.433923644,0.134379626,0.240366292,1.472917952,0.117306462,0.136623926,0.221431759,,0.036998933,0.573334014,0.57325227,1.500188513,0.170613688,1.629000148,,,6.787859772,,0.657370377,,0.027021667,0.561367765,,0.054569975,0.173130282,1.33468335,,0.853331091,0.166090436,0.276622324,0.57325227,8.230976268,0.417335485,0.750243221,0.071949468,0.059458305,1.28747023,1.540660445,16.0139375,,0.132164782,6.188718413,0.441275572,,0.269500139,0.594993657,3.140957062,0.158366155,,0.710130368,5.887170209,,
1963,0.074160725,0.202737303,1.181681144,0.878237689,0.175833134,2.330685053,1.487443124,9.226439909,5.155193747,0.016081017,11.38692874,0.047588561,0.017504203,,4.259780927,6.710688223,0.622369314,3.151928721,0.312894283,0.706049423,0.816179429,3.802640582,0.046436237,11.1321024,6.064744695,5.111295488,2.006373934,0.640001899,0.159083741,0.054492268,0.139446343,0.21400681,1.205764284,0.054902881,0.06787724,0.404552007,1.350237139,1.710527234,1.337182448,1.706871103,,,0.655940692,0.233128834,8.6898313,0.343707954,0.455573722,0.545003505,0.638623025,0.914268029,,,0.363070334,0.746574073,,,1.879509312,,0.017719866,7.540346275,0.29010271,4.279630907,0.554723546,6.87529322,3.466262615,,0.141697902,11.25485346,,0.236090769,2.210012455,0.18971256,0.075678269,0.07507114,0.0965,1.445674897,0.157023112,9.066758242,0.331150406,,0.989528972,8.15271762,1.242378614,0.320926024,0.060851857,5.579045568,1.126138517,0.977352108,0.245201213,0.458285934,0.23978319,0.13583789,,0.321794972,,4.718965523,1.745832246,1.190893346,7.031677377,3.451203447,3.215100133,1.407693242,1.16272699,3.359320776,,0.319940581,,0.062860309,0.413527899,0.362889659,0.774109781,44.95329588,1.288875041,0.064521493,1.525914597,0.298454777,0.910377925,0.236045102,1.324316184,0.100717172,0.18220802,,0.239103031,0.44258526,0.857061545,,1.350818995,,35.32358531,,0.577182556,,0.293829627,,,0.084217123,,1.191398575,1.600528397,,0.908104757,,0.032346291,1.273303364,0.113654005,0.909453653,,1.537322654,,0.216310969,0.094761256,0.290764139,,,15.99246693,,7.231306884,0.023824709,0.111385097,0.433354879,7.623924888,4.086515969,0.009336402,,4.830336124,7.833632006,,1.620119279,0.382635167,0.956050946,0.925178037,0.395863663,5.204371274,0.107584162,7.528621321,0.175637496,,,1.110208624,0.19933807,,0.478035541,0.760026253,99.46461209,3.698826568,,0.027159298,0.292375398,1.537749863,0.147903283,0.247510235,1.89376546,0.113848399,0.152611794,0.372867002,,0.034965709,0.586844429,0.586760599,1.472220588,0.114181626,1.704504291,,,7.281603319,,0.717427799,,0.02879627,0.54409457,,0.065170576,0.185877735,1.304787518,,0.908947813,0.159478697,0.292375398,0.586760599,1.467714341,0.444554057,0.767637866,0.073218337,0.057990783,1.282678175,1.639286319,16.48276215,,0.174208414,6.20859109,0.432633318,,0.255305663,0.471835416,3.245109245,0.184026297,,0.525293309,5.961335842,,
1964,0.086173614,0.213560349,1.11174196,1.003053346,0.132824781,2.553441797,1.590447772,9.759073431,5.391003988,0.015752291,11.05365472,0.055303533,0.021575284,,5.262987916,8.742075708,0.818296481,4.124437628,0.374320101,0.699884343,0.7659579,3.486596737,0.045591987,12.3053704,6.454644406,4.865282038,1.986496835,0.625646054,0.187339475,0.05978413,0.116926926,0.237873128,1.194410951,0.053991843,0.131582252,0.438151851,2.362947457,1.834144162,1.325741142,1.730120544,,,0.78396215,0.229452805,9.146392939,0.465556973,0.462362729,0.539137425,0.665060888,0.942161833,,,0.421133978,0.860935322,,,2.037725257,,0.016683881,7.785828069,0.298719051,5.024189944,0.944133954,7.013993128,3.323930121,,0.363280275,11.26583889,,0.219304424,2.158836689,0.187476646,0.07407875,0.091416178,0.094853262,1.553764446,0.233757955,8.387287234,0.374409898,,1.017581074,8.463236877,1.20538264,0.316834996,0.071977053,6.166240754,1.15525664,1.004284448,0.265604215,0.494808361,0.229458183,0.147676073,,0.308168699,,4.964723099,1.956609508,1.117410105,6.927178635,3.696632323,3.405053435,2.349693021,1.127643439,3.673035072,,0.30655442,,0.053863026,0.403863521,0.367206745,0.793961905,59.76745113,1.351660637,0.07406053,1.600651862,0.397441171,0.397959618,0.232490807,1.395348774,0.109127039,0.203624171,,0.20954334,0.447916333,0.879803312,,1.375592492,,37.54828986,,0.663072623,,0.319130756,,,0.086049758,,1.349331731,1.736658362,,0.931153566,,0.031981092,1.552410895,0.120595563,0.999388642,,1.904289753,,0.272559457,0.122642269,0.418299766,0.081845148,,16.53862687,,12.48694665,0.025071506,0.148274066,0.473342633,7.987673248,4.382327935,0.013941716,5.246065808,5.069180011,8.119959608,0.018067332,1.721070885,0.383564552,0.973973836,1.077546611,0.428529013,5.433095657,0.109969793,7.807291587,0.187546499,,,1.21998414,0.204534293,,0.724709335,0.732269051,92.86086197,3.811762869,,0.011588797,0.281209758,1.506847329,0.159284213,0.258106791,2.011115334,0.138107398,0.123389578,0.396233168,,0.045208883,0.628741282,0.6286483,1.928797824,0.171149867,1.88920286,,,7.887921639,0.030129655,0.839829773,,0.030496935,0.538195959,,0.079426114,0.242241073,1.37237939,,0.99883278,0.153343277,0.281209758,0.6286483,4.204841942,0.618137981,0.8707898,0.091547734,0.063657388,1.319837276,1.710100368,16.96811858,,0.215424563,6.04154467,0.848253528,,0.320837583,0.864438744,3.361380174,0.208112403,,0.644143316,6.332341923,0.946605941,1.03490258
1965,0.101284912,0.205890926,1.166099043,1.170540316,0.146819968,2.656465738,2.561364953,10.62232139,5.252196533,0.01185052,11.14165555,0.057114995,0.019841271,,5.645651942,6.554118582,0.794777561,3.586487026,0.374065828,0.676455225,0.872305268,3.25920536,0.053673037,12.81400147,6.6045773,5.185731956,1.976347501,0.665524211,0.277616113,0.053986781,0.142289847,0.212645578,1.222186786,0.070715057,0.111401887,0.531802609,2.60191635,1.835764986,1.314493966,1.981936981,,,1.05260823,0.22552969,9.316576004,0.399063378,0.525614967,0.572056684,0.695948971,0.998187505,,,0.434251905,0.908284626,,,2.225610193,,0.025801617,7.980548496,0.387259103,5.549837063,0.742934858,7.062750798,3.682226504,,0.405640832,11.45615951,,0.220319265,1.828366509,0.183267771,0.072388275,0.101580511,0.106174448,1.991253557,0.232490807,8.793316327,0.405878495,,1.65385937,8.733678491,1.336178604,0.320430603,0.071467517,6.04003721,1.211905555,1.055438821,0.292870243,0.555702822,0.246241493,0.159502295,,0.332527211,,4.772847809,2.154511225,2.305942365,7.265879991,5.050530628,3.641502446,1.703531603,1.212328499,3.912905535,,0.25895553,,0.062371689,0.236942428,0.447067908,0.871121999,75.03554382,1.352839498,0.075414863,1.586061294,0.447661316,0.586024049,0.267012711,1.407182772,0.121125186,0.207970919,,0.239278019,0.483264897,0.93219817,,1.436353358,,36.81380392,,0.649575846,,0.299438172,,,0.096613441,,1.561474714,1.705355151,,0.987110159,,0.035560486,1.483823714,0.112461669,1.146387627,,1.768707028,,0.249508068,0.163653883,0.404197875,0.084258887,,17.02208779,,13.61449724,0.02342163,0.234674325,0.377624335,8.174053896,4.407489804,0.016375143,5.635758197,5.212262974,8.360306159,0.041069809,1.688154376,0.392280899,1.163129042,1.021690761,0.452354462,5.998909388,0.122457741,7.862051172,0.268565201,,,1.288947997,0.253210183,,0.61598388,0.902641324,85.45858515,4.136449656,,0.014733594,0.301885958,0.871394521,0.202254536,0.460008428,1.340945466,0.187616945,0.112573503,0.32531277,,0.043022247,0.681019809,0.680915816,1.989797006,0.169527831,2.419130165,,,8.097993717,0.21575261,0.684516512,,0.032131813,0.571034958,,0.0772619,0.234152142,1.383500165,,1.145750004,0.147972291,0.301885958,0.680915816,5.699164342,0.541832887,0.884280771,0.099910252,0.078518885,1.392682006,2.04951873,17.45172525,,0.170536327,6.271782444,0.830577576,,0.347725694,0.641860778,3.440053089,0.230893951,,0.686311957,6.616544288,1.096875924,1.166241909
1966,0.107398881,0.268941437,1.333055465,1.278173632,0.160455318,2.806895517,5.814320287,10.32809244,5.361724683,0.015035846,11.04201943,0.042382648,0.019533659,,5.905436715,3.384393576,0.737779729,3.954607843,0.410061863,0.750374966,1.133861103,4.580588027,0.050412458,12.93491815,6.764899211,5.327620031,2.053282564,0.710891382,0.295285428,0.058325699,0.134673911,0.259548275,1.218989623,0.086699326,0.092191657,0.60407712,2.529146687,1.871119626,2.172136003,2.123857655,,,1.134129865,0.221200103,10.44901166,0.418059321,0.65338888,0.613944447,0.713885704,1.054675501,,,0.448236867,0.850377366,,,2.407735709,,0.032177902,8.153588397,0.472222429,6.444050245,0.677357873,6.899140799,3.738022426,,0.70219034,11.31896078,,0.181470373,2.065294935,0.185709122,0.079433809,0.100161762,0.090541294,2.165209851,0.309014684,9.597580247,0.347450995,,1.776879888,9.017776869,1.42340092,0.334081082,0.070107972,6.065040728,1.268819985,1.10390058,0.301928755,0.575488533,0.227084332,0.163609632,,0.337039502,,5.231136458,2.503924642,3.202365763,7.650130388,5.172018258,4.079440621,1.977132497,1.25024979,4.206264706,,0.272472137,,0.071279196,0.23192225,0.454981596,1.0196641,67.19064695,1.393019979,0.09621531,1.699101898,0.480884422,1.457705705,0.300220028,1.442620998,0.121749035,0.220154025,,0.233926649,0.497733088,0.9830539,,1.51105842,,34.80352506,,0.70521877,,0.374605405,,,0.09789249,,1.728793949,1.777925255,,1.040911647,,0.033834061,1.314628807,0.113153754,1.326288032,,1.714541989,,0.25855585,0.176835941,0.357726781,0.101178206,,17.63785042,,16.15833155,0.033684272,0.252017783,0.450640157,8.321531816,5.2127318,0.017067219,5.439756057,5.237592586,8.634987233,0.045694633,1.652913567,0.388941973,1.224281711,1.100484759,0.506016411,5.904463727,0.134281408,7.975704744,0.313366286,,,1.327035861,0.230138775,,0.602876514,1.251199388,78.62515342,4.381022511,,0.013247517,0.304971631,1.278788928,0.214127207,0.453853042,0.348804797,0.182061266,0.11784629,0.396317858,,0.04432621,0.677946523,0.677842389,1.939084726,0.166220933,3.242368952,,,9.29736416,0.525459453,0.885508584,,0.025010757,0.612819298,,0.101285266,0.289095655,1.419488954,,1.325550348,0.143296297,0.304971631,0.677842389,4.412126843,0.621833441,0.994630536,0.114427005,0.088752395,1.477116817,1.985092228,18.12107301,,0.21098236,5.690063409,1.218947368,,0.49284841,1.008010995,3.538748214,0.196436907,,0.595799147,6.453860998,0.951121076,1.307900482
1967,0.123409532,0.172101694,1.3637463,1.337443556,5.39992107,2.871099659,9.221240672,10.9556248,5.417736727,0.014653491,11.21725675,0.052284076,0.019216851,,6.638369161,5.124669111,1.073820679,4.090115385,0.449588422,0.751887374,1.425527869,3.91327547,0.053664399,13.8103546,6.972727861,5.434600874,2.068179502,0.574162147,0.327629461,0.075734169,0.12470329,0.26460447,1.245901325,0.084924756,0.074072727,0.516530012,2.976381457,1.905279578,1.721192208,2.306960163,,,0.669786981,0.325059835,10.14930055,0.380655101,0.635888321,0.51942576,0.757190144,1.038725134,,,0.466288382,0.613826084,,,2.647227559,,0.040883775,8.274864151,0.508245423,6.213386589,0.728919774,7.326518931,4.473730274,,1.826686328,10.78410455,,0.183963143,2.294152284,0.184231473,0.07735761,0.071231866,0.087970801,2.249413986,0.385918754,9.977040573,0.384421102,,1.958638557,9.325302063,1.627238638,0.352480579,0.058833711,5.758242269,1.225796942,1.068281387,0.305652159,0.572176624,0.232007118,0.169120513,,0.330973865,,5.655047288,2.581607121,2.055755167,7.269387324,4.933417486,4.431482557,2.145313724,1.026442388,4.863557846,,0.265284401,,0.062524753,0.454427164,0.464363352,1.166635088,44.08044507,1.459868249,0.127769011,1.642339445,0.469971259,9.850218508,0.332139083,1.509361559,0.124838049,0.216226897,,0.252904144,0.491104622,0.945561387,,1.382412302,,33.91204645,,0.73859313,,0.362187226,,,0.138866616,,1.789329425,1.918848664,,1.00100557,,0.039200701,1.671365752,0.142436854,1.31306752,,1.834764331,,0.222606716,0.18906682,0.636179596,0.084290092,,18.14896972,,15.276,0.031851627,0.245273582,0.492316017,8.476054637,5.10729497,0.018684584,7.660453158,5.007613524,8.907842421,0.20553874,1.856838991,0.402062134,1.218101986,1.102449455,0.555457646,6.475366414,0.168041297,8.105834014,0.268261611,,,1.398287231,0.212900046,,0.673816086,1.393529676,77.50235221,4.716318555,,0.011791359,0.301594914,4.909911292,0.250771073,0.179605369,1.546459345,0.227110386,0.097436273,0.34208473,,0.070435316,0.687494215,0.687387558,2.225669578,0.161667671,3.839348789,,,8.770023403,0.575934056,0.802935351,,0.034163021,0.518498948,,0.106722819,0.360199485,1.4844291,,1.312337189,0.185602753,0.301594914,0.687387558,5.013596546,0.651325142,1.032197865,0.14254398,0.094779534,1.410699769,1.776105911,18.59831788,,0.208881598,6.352986101,0.397636088,,0.573572875,1.07442133,3.577579759,0.191307005,,0.517040648,6.560823701,1.261961366,1.108578825
1968,0.115142498,0.289718091,1.519551277,1.552241958,6.806841267,2.981777316,15.83611906,11.21016771,5.711110104,0.016483729,12.32568713,0.055170709,0.018894962,,7.112214403,5.500874644,0.884672715,4.220509434,0.506850351,0.856553524,1.854822733,3.639069365,0.105120187,14.6326452,7.381253069,5.937701579,2.241519003,0.605451997,0.374236469,0.081601725,0.178174619,0.35975067,1.304524746,0.083123654,0.114515021,0.59378873,2.938115403,1.905947809,2.549183177,2.714276644,,,0.861521266,0.31868482,10.96131479,0.553387853,0.66316112,0.552711341,0.818492811,1.124441521,,,0.544401768,0.696557018,,,2.93409754,,0.064100802,8.692744671,0.679817643,7.200890139,0.79375476,7.51593184,4.809306474,,3.467590841,10.99348823,,0.211953346,2.384179158,0.186408609,0.083606359,0.091616796,0.097978378,2.553669959,0.424926522,12.50497696,0.403178318,,1.939996735,9.734274534,1.631620691,0.478293078,0.058544334,5.962915575,1.305511064,1.139006334,0.336174841,0.543002029,0.253602319,0.214650681,,0.352457491,,6.112609971,3.048353188,2.129158414,7.916823831,4.926836247,4.686612774,2.126840278,1.004648828,5.566593157,,0.267547567,,0.072476908,0.66857768,0.711317542,1.207655726,35.45911749,1.517536874,0.065972532,1.67362487,0.662489936,15.38560294,0.362943534,1.570025726,0.163561058,0.340978725,,0.271547715,0.516880728,1.011652533,,1.460369933,,36.53351794,,0.723957082,,0.367723565,,,0.146457314,,2.076424289,1.940637003,,1.06415919,,0.034254221,2.072289704,0.112623681,1.62746769,,2.056623953,,0.322665634,0.217388244,0.799157829,0.087066571,,18.66845243,,18.50084422,0.037840235,0.123978221,0.544069366,8.920252219,5.539193646,0.021804944,7.522644785,4.907836687,9.286293093,0.237417874,2.122271299,0.448936063,1.408350637,1.138785359,0.658417762,6.717288904,0.189103651,8.548589914,0.252133565,,,1.472335783,0.251022886,,0.697652452,1.490333069,75.96718198,5.060132786,,0.015582846,0.322447565,5.401987406,0.237411935,-0.020097641,2.693750497,0.244660764,0.145624844,0.362315977,,0.046491396,0.685124469,0.685017712,2.362266148,0.20877635,4.072730332,,,9.818341076,0.685579057,1.004495052,,0.03562878,0.551740334,,0.099883337,0.491478255,1.54668991,,1.626562489,0.180909977,0.322447565,0.685017712,4.341486579,0.742448793,1.091947147,0.129960641,0.111156995,1.503532192,1.760312878,19.08938916,,0.248155918,6.132858189,1.556947246,,0.573458339,0.77289014,3.683899547,0.213372901,,1.940466376,6.593620281,1.16685337,1.291859254
1969,0.086509857,0.48023402,1.558967572,1.798668927,101.0516627,3.2881612,19.79199056,11.60055435,6.006325178,0.021482736,12.81544961,0.070750258,0.021889868,,7.869932816,6.175647802,1.13766445,3.667,0.580638451,0.909093361,2.018772457,3.945881877,0.105133004,14.61864861,7.874976932,6.208288851,2.343375155,0.725149509,0.426040823,0.089986428,0.187685845,0.389585443,1.339331118,0.081371352,0.139189912,0.638397836,3.076162812,2.016095645,4.985159171,2.758798646,,,0.562697232,0.261133978,12.14297486,0.607096437,0.801895031,0.649101857,0.839476913,1.279210954,,,0.609573585,0.584380493,,,2.897101868,,0.060337126,9.163053399,0.706224039,8.20434233,0.848935853,8.014840647,5.514285714,,2.482137849,11.34267041,,0.198413618,2.343463751,0.183143515,0.105647256,0.084736289,0.14475,2.903833843,0.503240858,9.065412027,0.417321195,,1.965937233,10.24807034,2.008171019,0.446294293,0.068651442,6.06091396,1.411249062,1.227799843,0.344923424,0.597857725,0.298784282,0.206719122,,0.351187328,,6.313294461,2.993569224,2.360357896,6.220785862,5.150624609,5.043311221,2.309640897,1.088246277,6.338523165,,0.287023305,,0.195591155,0.218851334,0.563732595,1.348027309,38.94376897,1.602181194,0.121746627,1.934161969,0.931172439,17.3946824,0.607610359,1.656798262,0.155404237,0.29868514,,0.353642371,0.533852256,1.096897935,,1.653259403,,39.0929363,,0.700393209,,0.372160786,,,0.132888863,,2.278933791,2.047987318,,1.158395318,,0.027527156,2.145008216,0.120737995,1.614045607,,2.160854732,,0.367695899,0.247159053,0.704146331,0.08322818,,19.36166954,,14.98533654,0.043476328,0.221358853,0.551398098,9.00064816,5.775392981,0.033773949,10.24778761,5.147130698,9.734411586,0.334919776,2.011888158,0.423921693,1.390820471,1.168759182,0.657157407,11.36271303,0.205010205,9.022079801,0.305597518,,,1.668587261,0.215759867,,0.745799586,1.510466205,71.09871832,5.579907153,,0.01610436,0.320450984,6.304073963,0.310545184,0.1188821,3.527860465,0.236840406,0.411173751,0.333192334,,0.047641123,0.724971668,0.724856689,2.350280752,0.202297709,4.185670082,,,10.851792,0.726837446,1.179714672,,0.045215808,0.648013486,,0.118935165,0.406442616,1.631790666,,1.613147871,0.132774123,0.320450984,0.724856689,4.167107703,0.778796743,1.139551213,0.136947452,0.128957651,1.658435631,2.002060076,19.85794566,,0.327527688,6.245169783,1.90473717,,0.640099784,0.530635378,3.823784681,0.208797153,,0.767437287,6.665435015,1.056845472,1.320779084
