Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Afghanistan,AFG,0.046056713,0.053588835,0.073720831,0.074160725,0.086173614,0.101284912,0.107398881,0.123409532,0.115142498,0.086509857,0.149651474,0.165208321,0.129995594,0.135366588,0.154503241,0.167612356,0.153557886,0.181522166,0.161894232,0.167066411,0.131782918,0.150614656,0.163103934,0.201224305,0.231961346,0.293956932,0.267771904,0.269229596,0.246823271,0.233882195,0.210643419,0.183363552,0.096196581,0.085087108,0.075806494,0.068639862,0.062434611,0.056642345,0.052763218,0.04072254,0.037234781,0.037846136,0.047377324,0.050481336,0.038410043,0.051743965,0.062427532,0.083892806,0.151720912,0.238398541,0.28998763,0.406424217,0.345148783,0.310341015,0.293946407
Angola,AGO,0.100835336,0.082203797,0.210531477,0.202737303,0.213560349,0.205890926,0.268941437,0.172101694,0.289718091,0.48023402,0.608223599,0.564548236,0.721245978,0.751239887,0.72077638,0.628568907,0.451353518,0.469221176,0.694736947,0.683062948,0.640966402,0.61113512,0.519354626,0.551348574,0.520982856,0.471902772,0.451618883,0.544085132,0.463508296,0.437295462,0.431743615,0.41553083,0.410522932,0.441721098,0.288119068,0.787032547,0.726233461,0.496361245,0.47581516,0.577082914,0.581961496,0.574316054,0.722958875,0.500225396,1.001878117,0.985736355,1.105019027,1.203134,1.185000494,1.234425074,1.244091538,1.252680841,1.330218567,1.25377617,1.290306776
Albania,ALB,1.258194928,1.374186047,1.439955964,1.181681144,1.11174196,1.166099043,1.333055465,1.3637463,1.519551277,1.558967572,1.753239905,1.989497923,2.515914398,2.303897417,1.849006691,1.910633637,2.013584562,2.275876391,2.53062504,2.898208518,1.93505831,2.693023914,2.624856785,2.683239919,2.694291374,2.658015382,2.665356221,2.414060815,2.331598531,2.783243075,1.678106654,1.3122126,0.774724911,0.723790292,0.600203708,0.654537133,0.636625313,0.49036506,0.560271437,0.960164412,0.978174681,1.053304176,1.229540709,1.412697196,1.376212735,1.412498211,1.302576367,1.322334855,1.484311139,1.495600199,1.578573584,1.803714725,1.692908325,1.749211079,1.978763312
Arab World,ARB,0.645735873,0.687465379,0.763573634,0.878237689,1.003053346,1.170540316,1.278173632,1.337443556,1.552241958,1.798668927,1.81030783,2.003722019,2.120874561,2.409532926,2.285890683,2.196782726,2.584342446,2.648762368,2.762333136,2.863614327,3.092891473,2.930234955,2.723154427,2.816567034,2.981353909,3.061850351,3.284499572,3.197806442,3.295042799,3.256674224,3.016958841,3.236644873,3.415484909,3.669445627,3.674358206,3.424009524,3.328303681,3.145532205,3.349967185,3.328341058,3.703857081,3.607956149,3.604612754,3.796467412,4.068562415,4.185677306,4.285719182,4.117147549,4.408948273,4.562015124,4.636813439,4.559461655,4.837779594,4.674924823,4.886987513
United Arab Emirates,ARE,0.119035253,0.109141236,0.163533063,0.175833134,0.132824781,0.146819968,0.160455318,5.39992107,6.806841267,101.0516627,65.01695421,76.34765075,70.86397119,77.61933131,67.01703708,56.66685087,62.15692671,52.74519001,53.63731646,39.28918732,36.19849163,33.60995887,31.65478629,28.76982138,35.85465517,36.54481087,32.65713505,31.10002113,29.72696252,31.57475397,28.44462414,29.43022518,28.31938861,30.36176287,31.87389257,29.24987806,16.17068196,15.58984481,28.96879086,26.42410404,35.91576427,30.70638223,24.34879643,28.78331607,27.83302905,25.3144861,23.37186043,21.98593349,22.19548989,21.21405954,18.80851973,18.49161681,19.29492038,18.55923617,22.93960631
Argentina,ARG,2.38334297,2.458551426,2.538446036,2.330685053,2.553441797,2.656465738,2.806895517,2.871099659,2.981777316,3.2881612,3.464527236,3.666159416,3.657008154,3.754154275,3.753366604,3.670150704,3.799261982,3.780415491,3.792880963,4.02981027,3.897888332,3.600810028,3.591793419,3.595564042,3.582148497,3.329225647,3.39465765,3.685883317,3.835714346,3.642232454,3.438151412,3.539959219,3.619280358,3.471494485,3.558099412,3.674141708,3.830198391,3.870270007,3.876926392,4.030588815,3.854991948,3.587350317,3.309683688,3.546088324,4.094082917,4.168128548,4.465186021,4.414246417,4.718224428,4.445387803,4.607163748,4.64437307,4.609179856,4.498539995,4.781507775
Antigua and Barbuda,ATG,0.677430677,0.866729696,1.838720653,1.487443124,1.590447772,2.561364953,5.814320287,9.221240672,15.83611906,19.79199056,7.199495146,6.609568501,5.83216129,5.185074627,6.797195817,11.29207818,6.46768323,7.492221561,7.920852408,6.570199509,2.311694819,1.720760518,4.748539148,1.365028242,2.374000583,4.035800991,4.037892282,4.45622762,4.63042528,4.61272739,4.515720957,4.224454369,4.095236618,4.12542378,3.983259925,4.005024028,4.180525273,4.29582729,4.356891183,4.419610574,4.534545359,4.511798684,4.73040424,5.086633039,5.249265585,5.266543915,5.365000484,5.586080499,5.625221026,5.875925115,5.956979597,5.751963519,5.800097335,5.729937934,5.744419956
Australia,AUS,8.582936643,8.641569017,8.835688047,9.226439909,9.759073431,10.62232139,10.32809244,10.9556248,11.21016771,11.60055435,11.80289054,11.80911757,11.95163155,12.77968685,12.55966873,12.65989981,12.41679178,13.23189614,14.06985862,14.12909198,15.02491601,15.43250084,15.42493181,14.64008413,15.2209753,15.3084102,14.98057315,15.7469578,15.79616778,16.51986292,15.45288167,15.12796621,15.31776851,15.7014518,15.57658628,15.59651881,16.50180039,16.51427321,16.93569585,17.19029769,17.20060983,16.73336743,17.37045177,16.90195895,17.02651535,17.16971145,17.65139831,17.86526004,18.16087566,18.20018196,17.74084505,17.53887776,17.07290468,16.09583317,15.38876602
Austria,AUT,4.373318828,4.496361641,4.755361673,5.155193747,5.391003988,5.252196533,5.361724683,5.417736727,5.711110104,6.006325178,6.788807307,6.953651912,7.448516814,7.930866985,7.562697278,7.176844855,7.721250012,7.428063284,7.601371804,8.158846402,6.928479,7.416160614,7.112124941,6.874373273,7.214278667,7.230766353,7.144304852,7.623419815,7.032030698,7.102448997,7.513246156,7.944096184,7.226236428,7.223017309,7.189264701,7.521516107,7.938008299,7.863667996,7.981004261,7.741130615,7.774259739,8.192769898,8.299115796,8.889562334,8.858363703,9.020169598,8.727297872,8.406418936,8.295095978,7.518751102,8.071131802,7.748134305,7.387077163,7.368748145,6.86986793
Belgium,BEL,9.941594074,10.10387199,10.64118963,11.38692874,11.05365472,11.14165555,11.04201943,11.21725675,12.32568713,12.81544961,13.01017881,12.56342518,13.47269526,14.2554864,13.83696555,12.4583039,13.24167979,12.87543872,13.80705794,14.23923382,13.72329627,12.57955507,11.92668478,10.31207942,10.69696639,10.59744025,10.43154171,10.44717278,10.13514385,10.81351494,10.63967167,11.09099988,11.14648251,10.67503455,11.1051094,11.08115205,11.62383425,11.32885202,11.60191455,11.17302675,11.2296677,11.13371551,10.3854951,10.88211417,10.66129022,10.35539299,10.151039,9.744777191,9.751984809,9.249615685,10.17146522,9.054330011,8.56287875,8.689543091,8.328159898
